fips,county,HSR
48001,Anderson,HSR 4/5N
48101,Cottle,HSR 2/3
48103,Crane,HSR 9/10
48105,Crockett,HSR 9/10
48107,Crosby,HSR 1
48109,Culberson,HSR 9/10
48011,Armstrong,HSR 1
48111,Dallam,HSR 1
48113,Dallas,HSR 2/3
48115,Dawson,HSR 9/10
48117,Deaf Smith,HSR 1
48119,Delta,HSR 4/5N
48121,Denton,HSR 2/3
48123,DeWitt,HSR 8
48125,Dickens,HSR 1
48127,Dimmit,HSR 8
48129,Donley,HSR 1
48013,Atascosa,HSR 8
48131,Duval,HSR 11
48133,Eastland,HSR 2/3
48135,Ector,HSR 9/10
48137,Edwards,HSR 8
48139,Ellis,HSR 2/3
48141,El Paso,HSR 9/10
48143,Erath,HSR 2/3
48145,Falls,HSR 7
48147,Fannin,HSR 2/3
48149,Fayette,HSR 7
48015,Austin,HSR 6/5S
48151,Fisher,HSR 2/3
48153,Floyd,HSR 1
48155,Foard,HSR 2/3
48157,Fort Bend,HSR 6/5S
48159,Franklin,HSR 4/5N
48161,Freestone,HSR 7
48163,Frio,HSR 8
48165,Gaines,HSR 9/10
48167,Galveston,HSR 6/5S
48169,Garza,HSR 1
48017,Bailey,HSR 1
48171,Gillespie,HSR 8
48173,Glasscock,HSR 9/10
48175,Goliad,HSR 8
48177,Gonzales,HSR 8
48179,Gray,HSR 1
48181,Grayson,HSR 2/3
48183,Gregg,HSR 4/5N
48185,Grimes,HSR 7
48187,Guadalupe,HSR 8
48189,Hale,HSR 1
48019,Bandera,HSR 8
48191,Hall,HSR 1
48193,Hamilton,HSR 7
48195,Hansford,HSR 1
48197,Hardeman,HSR 2/3
48199,Hardin,HSR 6/5S
48201,Harris,HSR 6/5S
48203,Harrison,HSR 4/5N
48205,Hartley,HSR 1
48207,Haskell,HSR 2/3
48209,Hays,HSR 7
48021,Bastrop,HSR 7
48211,Hemphill,HSR 1
48213,Henderson,HSR 4/5N
48215,Hidalgo,HSR 11
48217,Hill,HSR 7
48219,Hockley,HSR 1
48221,Hood,HSR 2/3
48223,Hopkins,HSR 4/5N
48225,Houston,HSR 4/5N
48227,Howard,HSR 9/10
48229,Hudspeth,HSR 9/10
48023,Baylor,HSR 2/3
48231,Hunt,HSR 2/3
48233,Hutchinson,HSR 1
48235,Irion,HSR 9/10
48237,Jack,HSR 2/3
48239,Jackson,HSR 8
48241,Jasper,HSR 4/5N
48243,Jeff Davis,HSR 9/10
48245,Jefferson,HSR 6/5S
48247,Jim Hogg,HSR 11
48249,Jim Wells,HSR 11
48025,Bee,HSR 11
48251,Johnson,HSR 2/3
48253,Jones,HSR 2/3
48255,Karnes,HSR 8
48257,Kaufman,HSR 2/3
48259,Kendall,HSR 8
48261,Kenedy,HSR 11
48263,Kent,HSR 2/3
48265,Kerr,HSR 8
48267,Kimble,HSR 9/10
48269,King,HSR 1
48027,Bell,HSR 7
48271,Kinney,HSR 8
48273,Kleberg,HSR 11
48275,Knox,HSR 2/3
48277,Lamar,HSR 4/5N
48279,Lamb,HSR 1
48281,Lampasas,HSR 7
48283,La Salle,HSR 8
48285,Lavaca,HSR 8
48287,Lee,HSR 7
48289,Leon,HSR 7
48029,Bexar,HSR 8
48291,Liberty,HSR 6/5S
48293,Limestone,HSR 7
48295,Lipscomb,HSR 1
48297,Live Oak,HSR 11
48299,Llano,HSR 7
48003,Andrews,HSR 9/10
48301,Loving,HSR 9/10
48303,Lubbock,HSR 1
48305,Lynn,HSR 1
48307,McCulloch,HSR 9/10
48309,McLennan,HSR 7
48031,Blanco,HSR 7
48311,McMullen,HSR 11
48313,Madison,HSR 7
48315,Marion,HSR 4/5N
48317,Martin,HSR 9/10
48319,Mason,HSR 9/10
48321,Matagorda,HSR 6/5S
48323,Maverick,HSR 8
48325,Medina,HSR 8
48327,Menard,HSR 9/10
48329,Midland,HSR 9/10
48033,Borden,HSR 9/10
48331,Milam,HSR 7
48333,Mills,HSR 7
48335,Mitchell,HSR 2/3
48337,Montague,HSR 2/3
48339,Montgomery,HSR 6/5S
48341,Moore,HSR 1
48343,Morris,HSR 4/5N
48345,Motley,HSR 1
48347,Nacogdoches,HSR 4/5N
48349,Navarro,HSR 2/3
48035,Bosque,HSR 7
48351,Newton,HSR 4/5N
48353,Nolan,HSR 2/3
48355,Nueces,HSR 11
48357,Ochiltree,HSR 1
48359,Oldham,HSR 1
48361,Orange,HSR 6/5S
48363,Palo Pinto,HSR 2/3
48365,Panola,HSR 4/5N
48367,Parker,HSR 2/3
48369,Parmer,HSR 1
48037,Bowie,HSR 4/5N
48371,Pecos,HSR 9/10
48373,Polk,HSR 4/5N
48375,Potter,HSR 1
48377,Presidio,HSR 9/10
48379,Rains,HSR 4/5N
48381,Randall,HSR 1
48383,Reagan,HSR 9/10
48385,Real,HSR 8
48387,Red River,HSR 4/5N
48389,Reeves,HSR 9/10
48039,Brazoria,HSR 6/5S
48391,Refugio,HSR 11
48393,Roberts,HSR 1
48395,Robertson,HSR 7
48397,Rockwall,HSR 2/3
48399,Runnels,HSR 2/3
48401,Rusk,HSR 4/5N
48403,Sabine,HSR 4/5N
48405,San Augustine,HSR 4/5N
48407,San Jacinto,HSR 4/5N
48409,San Patricio,HSR 11
48041,Brazos,HSR 7
48411,San Saba,HSR 7
48413,Schleicher,HSR 9/10
48415,Scurry,HSR 2/3
48417,Shackelford,HSR 2/3
48419,Shelby,HSR 4/5N
48421,Sherman,HSR 1
48423,Smith,HSR 4/5N
48425,Somervell,HSR 2/3
48427,Starr,HSR 11
48429,Stephens,HSR 2/3
48043,Brewster,HSR 9/10
48431,Sterling,HSR 9/10
48433,Stonewall,HSR 2/3
48435,Sutton,HSR 9/10
48437,Swisher,HSR 1
48439,Tarrant,HSR 2/3
48441,Taylor,HSR 2/3
48443,Terrell,HSR 9/10
48445,Terry,HSR 1
48447,Throckmorton,HSR 2/3
48449,Titus,HSR 4/5N
48045,Briscoe,HSR 1
48451,Tom Green,HSR 9/10
48453,Travis,HSR 7
48455,Trinity,HSR 4/5N
48457,Tyler,HSR 4/5N
48459,Upshur,HSR 4/5N
48461,Upton,HSR 9/10
48463,Uvalde,HSR 8
48465,Val Verde,HSR 8
48467,Van Zandt,HSR 4/5N
48469,Victoria,HSR 8
48047,Brooks,HSR 11
48471,Walker,HSR 6/5S
48473,Waller,HSR 6/5S
48475,Ward,HSR 9/10
48477,Washington,HSR 7
48479,Webb,HSR 11
48481,Wharton,HSR 6/5S
48483,Wheeler,HSR 1
48485,Wichita,HSR 2/3
48487,Wilbarger,HSR 2/3
48489,Willacy,HSR 11
48049,Brown,HSR 2/3
48491,Williamson,HSR 7
48493,Wilson,HSR 8
48495,Winkler,HSR 9/10
48497,Wise,HSR 2/3
48499,Wood,HSR 4/5N
48005,Angelina,HSR 4/5N
48501,Yoakum,HSR 1
48503,Young,HSR 2/3
48505,Zapata,HSR 11
48507,Zavala,HSR 8
48051,Burleson,HSR 7
48053,Burnet,HSR 7
48055,Caldwell,HSR 7
48057,Calhoun,HSR 8
48059,Callahan,HSR 2/3
48061,Cameron,HSR 11
48063,Camp,HSR 4/5N
48065,Carson,HSR 1
48067,Cass,HSR 4/5N
48069,Castro,HSR 1
48007,Aransas,HSR 11
48071,Chambers,HSR 6/5S
48073,Cherokee,HSR 4/5N
48075,Childress,HSR 1
48077,Clay,HSR 2/3
48079,Cochran,HSR 1
48081,Coke,HSR 9/10
48083,Coleman,HSR 2/3
48085,Collin,HSR 2/3
48087,Collingsworth,HSR 1
48089,Colorado,HSR 6/5S
48009,Archer,HSR 2/3
48091,Comal,HSR 8
48093,Comanche,HSR 2/3
48095,Concho,HSR 9/10
48097,Cooke,HSR 2/3
48099,Coryell,HSR 7
