state,county,population
Alabama,Jefferson County,665742
Alaska,Anchorage Municipality,287155
Arizona,Maricopa County,4689558
Arkansas,Pulaski County,404611
California,Los Angeles County,9694934
Colorado,El Paso County,757040
Connecticut,Capitol Planning Region,994115
Delaware,New Castle County,588026
District-of-Columbia,District of Columbia,693645
Florida,Miami-Dade County,2802029
Georgia,Fulton County,1098791
Hawaii,Honolulu County,988703
Idaho,Ada County,546141
Illinois,Cook County,5194625
Indiana,Marion County,992196
Iowa,Polk County,516546
Kansas,Johnson County,636906
Kentucky,Jefferson County,795222
Louisiana,East Baton Rouge Parish,456180
Maine,Cumberland County,317222
Maryland,Montgomery County,1074582
Massachusetts,Middlesex County,1669979
Michigan,Wayne County,1769038
Minnesota,Hennepin County,1284784
Mississippi,Harrison County,217136
Missouri,St. Louis County,990911
Montana,Yellowstone County,172692
Nebraska,Douglas County,606460
Nevada,Clark County,2407226
New-Hampshire,Hillsborough County,433415
New-Jersey,Bergen County,977026
New-Mexico,Bernalillo County,667601
New-York,Kings County,2653963
North-Carolina,Wake County,1257235
North-Dakota,Cass County,201794
Ohio,Franklin County,1361536
Oklahoma,Oklahoma County,822125
Oregon,Multnomah County,795391
Pennsylvania,Philadelphia County,1574281
Rhode-Island,Providence County,678179
South-Carolina,Greenville County,583125
South-Dakota,Minnehaha County,212691
Tennessee,Shelby County,910226
Texas,Harris County,5045026
Utah,Salt Lake County,1220916
Vermont,Chittenden County,169115
Virginia,Fairfax County,1167873
Washington,King County,2344939
West-Virginia,Kanawha County,172381
Wisconsin,Milwaukee County,924216
Wyoming,Laramie County,102938
